year,month,day,hour,doy,nee,nee_gf,gpp,gpp_gf,sif
2019,1,7,20.25,7,,0.37988,,-0.0552645,
2019,1,7,21.25,7,,0.39955,,-0.077228,
2019,1,7,22.25,7,,0.43473,,-0.116055,
2019,1,7,23.25,7,,0.39275,,-0.078804,
2019,1,8,0.25,8,,0.35935,,-0.052637,
2019,1,8,1.25,8,,0.424805,,-0.128215,
2019,1,8,2.25,8,,0.35809,,-0.068499,
2019,1,8,3.25,8,,0.363885,,-0.088459,
2019,1,8,4.25,8,,0.350305,,-0.0899075,
2019,1,8,5.25,8,,0.350585,,-0.1070045,
2019,1,8,6.25,8,,0.37758,,-0.143955,
2019,1,8,7.25,8,,0.438345,,-0.20776,
2019,1,8,8.25,8,,0.34939,,-0.12369,
2019,1,8,9.25,8,,0.317045,,-0.0952465,
2019,1,8,10.25,8,,0.32083,,-0.090082,
2019,1,8,11.25,8,,0.33114,,-0.086234,0.017177829
2019,1,8,12.25,8,,0.3247,,-0.0678625,0.044790264
2019,1,8,13.25,8,,0.315785,,-0.0429055,0.000557946
2019,1,8,14.25,8,,0.333705,,-0.055788,0.007804963
2019,1,8,15.25,8,,0.323675,,-0.0452385,0.020099872
2019,1,8,16.25,8,,0.37008,,-0.0945865,
2019,1,8,17.25,8,,0.36029,,-0.1053,
2019,1,8,18.25,8,,0.36238,,-0.12048,
2019,1,8,19.25,8,,0.37437,,-0.14322,
2019,1,8,20.25,8,,0.412205,,-0.193375,
2019,1,8,21.25,8,,0.40027,,-0.18862,
2019,1,8,22.25,8,,0.396925,,-0.187105,
2019,1,8,23.25,8,,0.38946,,-0.186325,
2019,1,9,0.25,9,,0.39331,,-0.19056,
2019,1,9,1.25,9,,0.359395,,-0.15951,
2019,1,9,2.25,9,,0.37949,,-0.198535,
2019,1,9,3.25,9,,0.380285,,-0.208625,
2019,1,9,4.25,9,,0.373815,,-0.167315,
2019,1,9,5.25,9,,0.37928,,-0.16686,
2019,1,9,6.25,9,,0.37582,,-0.19397,
2019,1,9,7.25,9,,0.370255,,-0.158395,
2019,1,9,8.25,9,,0.346665,,-0.114385,
2019,1,9,9.25,9,,0.33396,,-0.0782925,
2019,1,9,10.25,9,,0.33009,,-0.0616485,
2019,1,9,11.25,9,,0.328335,,-0.046401,0.039477582
2019,1,9,12.25,9,,0.317735,,-0.020942,0.012166576
2019,1,9,13.25,9,,0.3147,,0.00111,0.020833595
2019,1,9,14.25,9,,0.33378,,-0.00810685,0.021514709
2019,1,9,15.25,9,,0.328825,,0.00197365,0.0185504
2019,1,9,16.25,9,,0.32646,,0.007363695,
2019,1,9,17.25,9,,0.364025,,-0.0306725,
2019,1,9,18.25,9,,0.37596,,-0.0451995,
2019,1,9,19.25,9,,0.38179,,-0.064516,
2019,1,9,20.25,9,,0.386795,,-0.0714585,
2019,1,9,21.25,9,,0.39512,,-0.075223,
2019,1,9,22.25,9,,0.384035,,-0.0622685,
2019,1,9,23.25,9,,0.370035,,-0.0504425,
2019,1,10,0.25,10,,0.36713,,-0.042519,
2019,1,10,1.25,10,,0.3621,,-0.0329835,
2019,1,10,2.25,10,,0.37017,,-0.0437055,
2019,1,10,3.25,10,,0.36955,,-0.0476795,
2019,1,10,4.25,10,,0.37439,,-0.0574245,
2019,1,10,5.25,10,,0.37059,,-0.0545275,
2019,1,10,6.25,10,,0.36016,,-0.044312,
2019,1,10,7.25,10,,0.349735,,-0.0324145,
2019,1,10,8.25,10,,0.341015,,-0.02015,
2019,1,10,9.25,10,,0.33819,,-0.0165805,
2019,1,10,10.25,10,,0.33559,,-0.0079902,
2019,1,10,11.25,10,,0.32756,,0.01297325,0.002039617
2019,1,10,12.25,10,,0.322565,,0.0292965,0.040316121
2019,1,10,13.25,10,,0.316965,,0.047718,0.023023336
2019,1,10,14.25,10,,0.334365,,0.0413565,0.018030857
2019,1,10,15.25,10,,0.32172,,0.061125,0.012681415
2019,1,10,16.25,10,,0.316815,,0.066079,
2019,1,10,17.25,10,,0.358845,,0.0197005,
2019,1,10,18.25,10,,0.374275,,-0.01385274,
2019,1,10,19.25,10,,0.385145,,-0.03641,
2019,1,10,20.25,10,,0.39184,,-0.0485285,
2019,1,10,21.25,10,,0.390725,,-0.0570945,
2019,1,10,22.25,10,,0.38757,,-0.0654715,
2019,1,10,23.25,10,,0.366725,,-0.058209,
2019,1,11,0.25,11,,0.358225,,-0.0607865,
2019,1,11,1.25,11,,0.369255,,-0.0685235,
2019,1,11,2.25,11,,0.363305,,-0.0581055,
2019,1,11,3.25,11,,0.37961,,-0.073294,
2019,1,11,4.25,11,,0.37866,,-0.07429,
2019,1,11,5.25,11,,0.377375,,-0.085612,
2019,1,11,6.25,11,,0.339305,,-0.0416715,
2019,1,11,7.25,11,,0.360905,,-0.0585015,
2019,1,11,8.25,11,,0.34273,,-0.0407585,
2019,1,11,9.25,11,,0.349485,,-0.048388,
2019,1,11,10.25,11,,0.334775,,-0.034464,
2019,1,11,11.25,11,,0.329275,,-0.0217965,0.009793797
2019,1,11,12.25,11,,0.324575,,-0.009713125,0.027716509
2019,1,11,13.25,11,,0.319215,,0.00518795,0.042922112
2019,1,11,14.25,11,,0.31027,,0.0224725,0.006675274
2019,1,11,15.25,11,,0.338225,,-0.01082145,0.01944968
2019,1,11,16.25,11,,0.360865,,-0.0389145,
2019,1,11,17.25,11,,0.37741,,-0.0677975,
2019,1,11,18.25,11,,0.37969,,-0.0829825,
2019,1,11,19.25,11,,0.385055,,-0.089883,
2019,1,11,20.25,11,,0.397935,,-0.0985735,
2019,1,11,21.25,11,,0.40819,,-0.1057395,
2019,1,11,22.25,11,,0.40431,,-0.09537,
2019,1,11,23.25,11,,0.389475,,-0.0699865,
2019,1,12,0.25,12,,0.36961,,-0.0420855,
2019,1,12,1.25,12,,0.358435,,-0.0270085,
2019,1,12,2.25,12,,0.371865,,-0.030299,
2019,1,12,3.25,12,,0.39189,,-0.035731,
2019,1,12,4.25,12,,0.388245,,-0.0317425,
2019,1,12,5.25,12,,0.38112,,-0.0196395,
2019,1,12,6.25,12,,0.405705,,-0.0418965,
2019,1,12,7.25,12,,0.41351,,-0.051855,
2019,1,12,8.25,12,,0.356235,,0.00613665,
2019,1,12,9.25,12,,0.355055,,0.01853655,
2019,1,12,10.25,12,,0.34166,,0.0432465,
2019,1,12,11.25,12,,0.330905,,0.068617,0.020253744
2019,1,12,12.25,12,,0.32532,,0.0934775,0.018528748
2019,1,12,13.25,12,,0.32355,,0.11057,0.033767143
2019,1,12,14.25,12,,0.33522,,0.10762,0.023877016
2019,1,12,15.25,12,,0.33436,,0.118275,0.018373347
2019,1,12,16.25,12,,0.33948,,0.109035,
2019,1,12,17.25,12,,0.357795,,0.0750665,
2019,1,12,18.25,12,,0.382425,,0.0432305,
2019,1,12,19.25,12,,0.39629,,0.0264745,
2019,1,12,20.25,12,,0.405455,,0.023238,
2019,1,12,21.25,12,,0.415565,,0.0478355,
2019,1,12,22.25,12,,0.419955,,0.0491915,
2019,1,12,23.25,12,,0.41138,,0.065952,
2019,1,13,0.25,13,,0.475165,,-0.00229885,
2019,1,13,1.25,13,,0.379295,,0.102509,
2019,1,13,2.25,13,,0.39028,,0.099353,
2019,1,13,3.25,13,,0.38124,,0.12853,
2019,1,13,4.25,13,,0.379235,,0.119115,
2019,1,13,5.25,13,,0.40162,,0.080279,
2019,1,13,6.25,13,,0.412335,,0.057269,
2019,1,13,7.25,13,,0.380045,,0.0870055,
2019,1,13,8.25,13,,0.38096,,0.086731,
2019,1,13,9.25,13,,0.309735,,0.1612275,
2019,1,13,10.25,13,,0.335265,,0.15267,
2019,1,13,11.25,13,,0.33161,,0.18217,0.007865018
2019,1,13,12.25,13,,0.33061,,0.17802,0.016580161
2019,1,13,13.25,13,,0.322685,,0.19823,0.018119406
2019,1,13,14.25,13,,0.33857,,0.196495,0.020015743
2019,1,13,15.25,13,,0.336855,,0.19161,0.022362205
2019,1,13,16.25,13,,0.342245,,0.17971,
2019,1,13,17.25,13,,0.370665,,0.14167,
2019,1,13,18.25,13,,0.3807,,0.12355,
2019,1,13,19.25,13,,0.38648,,0.1089,
2019,1,13,20.25,13,,0.39406,,0.089235,
2019,1,13,21.25,13,,0.392,,0.079333,
2019,1,13,22.25,13,,0.406715,,0.0582475,
2019,1,13,23.25,13,,0.363455,,0.100334,
2019,1,14,0.25,14,,0.34702,,0.119,
2019,1,14,1.25,14,,0.375325,,0.0878345,
2019,1,14,2.25,14,,0.37704,,0.082161,
2019,1,14,3.25,14,,0.37879,,0.082121,
2019,1,14,4.25,14,,0.385715,,0.076565,
2019,1,14,5.25,14,,0.386665,,0.0772,
2019,1,14,6.25,14,,0.389645,,0.0773315,
2019,1,14,7.25,14,,0.36638,,0.1031625,
2019,1,14,8.25,14,,0.356575,,0.1136,
2019,1,14,9.25,14,,0.33768,,0.134345,
2019,1,14,10.25,14,,0.341505,,0.13587,
2019,1,14,11.25,14,,0.33383,,0.15111,0.018917404
2019,1,14,12.25,14,,0.32994,,0.162825,0.010660039
2019,1,14,13.25,14,,0.324745,,0.181265,0.01133595
2019,1,14,14.25,14,,0.336345,,0.185085,0.010361506
2019,1,14,15.25,14,,0.32978,,0.20308,0.012696654
2019,1,14,16.25,14,,0.329175,,0.21261,
2019,1,14,17.25,14,,0.345005,,0.19969,
2019,1,14,18.25,14,,0.35958,,0.1914,
2019,1,14,19.25,14,,0.361415,,0.1986,
2019,1,14,20.25,14,,0.459055,,0.112115,
2019,1,14,21.25,14,,0.480005,,0.11476,
2019,1,14,22.25,14,,0.407195,,0.18395,
2019,1,14,23.25,14,,0.393695,,0.153905,
2019,1,15,0.25,15,,0.38563,,0.11051,
2019,1,15,1.25,15,,0.408255,,0.0526885,
2019,1,15,2.25,15,,0.461115,,-0.051938,
2019,1,15,3.25,15,,0.448765,,-0.1103585,
2019,1,15,4.25,15,,0.38637,,-0.0932595,
2019,1,15,5.25,15,,0.426505,,-0.165275,
2019,1,15,6.25,15,,0.41072,,-0.17596,
2019,1,15,7.25,15,,0.349325,,-0.1299,
2019,1,15,8.25,15,,0.35629,,-0.147315,
2019,1,15,9.25,15,,0.35145,,-0.14498,
2019,1,15,10.25,15,,0.34741,,-0.13159,
2019,1,15,11.25,15,,0.33485,,-0.0939755,0.0443562
2019,1,15,12.25,15,,0.335855,,-0.0639915,0.057992183
2019,1,15,13.25,15,,0.33178,,-0.044188,0.03694657
2019,1,15,14.25,15,,0.324355,,-0.02010755,0.104602309
2019,1,15,15.25,15,,0.321935,,-0.00271445,0.062065335
2019,1,15,16.25,15,,0.34011,,-0.01625975,
2019,1,15,17.25,15,,0.381795,,-0.0778535,
2019,1,15,18.25,15,,0.386625,,-0.101235,
2019,1,15,19.25,15,,0.38903,,-0.115555,
2019,1,15,20.25,15,,0.386945,,-0.154155,
2019,1,15,21.25,15,,0.39192,,-0.17561,
2019,1,15,22.25,15,,0.392145,,-0.185275,
2019,1,15,23.25,15,,0.38285,,-0.182075,
2019,1,16,0.25,16,,0.3833,,-0.18945,
