         67464470 function calls (67180742 primitive calls) in 4688.950 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    27144 1651.796    0.061 1651.796    0.061 C:\Users\liuha\Desktop\TBM_2.1_HTC\src\model\SIF.py:155(cal_rtm_sif)
   196827    0.108    0.000    0.108    0.000 {built-in method numpy.empty}
   463794    0.107    0.000    0.107    0.000 {built-in method builtins.issubclass}
   409585    0.100    0.000    0.100    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
   683435    0.098    0.000    0.098    0.000 {pandas._libs.lib.is_scalar}
    82163    0.098    0.000    9.269    0.000 <__array_function__ internals>:2(mean)
   199056    0.093    0.000    0.114    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\linalg\linalg.py:112(isComplexType)
   140353    0.092    0.000    1.059    0.000 <__array_function__ internals>:2(amax)
1058191/1058129    0.090    0.000    0.090    0.000 {built-in method builtins.len}
   682687    0.087    0.000    0.087    0.000 {built-in method builtins.callable}
   140356    0.085    0.000    0.343    0.000 <__array_function__ internals>:2(concatenate)
   140352    0.083    0.000    1.421    0.000 <__array_function__ internals>:2(hstack)
   212868    0.082    0.000    0.082    0.000 {built-in method _operator.index}
   681940    0.079    0.000    0.079    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\indexes\numeric.py:231(_should_fallback_to_positional)
   102066    0.079    0.000    0.079    0.000 {built-in method builtins.getattr}
   223297    0.078    0.000    0.078    0.000 {built-in method builtins.hasattr}
   140355    0.078    0.000    0.507    0.000 <__array_function__ internals>:2(dot)
   681971    0.077    0.000    0.077    0.000 {pandas._libs.lib.is_float}
   140352    0.075    0.000    0.579    0.000 <__array_function__ internals>:2(atleast_1d)
   563647    0.074    0.000    0.074    0.000 {method 'append' of 'list' objects}
    18275    0.073    0.000    0.073    0.000 C:\Users\liuha\Desktop\TBM_2.1_HTC\src\model\model.py:52(temp_term)
