hidden_dim,n_layer,lookback_periods,batch_size,time,GPP_R2,NEE_R2
64,1,3,16,252.3941740989685,0.963945403329184,0.9627054529136354
64,1,3,32,164.93655490875244,0.9542458362496871,0.9471063766261687
64,1,3,64,115.82680821418762,0.9617763843162925,0.9557232096591853
64,1,3,128,88.61571097373962,0.9511202525607805,0.9471501553217563
64,1,5,16,451.6359910964966,0.9613700775071096,0.963468986504465
64,1,5,32,273.4663004875183,0.9597643172070511,0.9613848870101487
64,1,5,64,192.48781418800357,0.9477374016127226,0.9417283546913652
64,1,5,128,154.8731689453125,0.9503192112615562,0.9457070819916011
64,1,7,16,599.6999664306641,0.9572762592843723,0.9607270734633301
64,1,7,32,374.3856554031372,0.9598798953737266,0.9577690452342107
64,1,7,64,258.90649032592773,0.9568957033773111,0.9531305797711012
64,1,7,128,202.05595898628235,0.9491466725818899,0.9445072147176427
64,2,1,16,165.41349506378174,0.9634042277939505,0.9613598630294624
64,2,1,32,102.06635451316832,0.9667598442044432,0.9652102508151108
64,2,1,64,72.1429991722107,0.9578340978788653,0.9575966363290832
64,2,1,128,55.10490703582764,0.9547351215881354,0.9531027310964882
64,2,3,16,462.472323179245,0.9619720335232282,0.9639449803426369
64,2,3,32,307.63256072998047,0.9586115727956401,0.9586334602882787
64,2,3,64,210.89487290382385,0.9534118844375659,0.9524368931982133
64,2,3,128,168.8066763877869,0.9555356310115191,0.9496601031118441
64,2,5,16,800.5179119110107,0.9493281770799417,0.950051971224188
64,2,5,32,514.2696335315704,0.9631179488367763,0.9640685620966322
64,2,5,64,352.51403069496155,0.9597230073826134,0.9586521176528879
64,2,5,128,272.86852645874023,0.9596524529153375,0.9530288341456529
64,2,7,16,1123.3969345092771,0.9642618395732885,0.9665256386022419
64,2,7,32,736.506628036499,0.9585280074811554,0.9601051095724615
64,2,7,64,506.8210816383362,0.965759915345816,0.9654873600457137
64,2,7,128,411.6561028957367,0.9481822570155144,0.9498783164086666
64,4,1,16,328.9970152378082,0.9729905072449424,0.9722979889180535
64,4,1,32,204.1459286212921,0.9643933986617526,0.9631747291045089
64,4,1,64,142.9565944671631,0.953120479776766,0.9522667698115744
64,4,1,128,109.0961570739746,0.9574571392747324,0.9543662988016649
64,4,3,16,939.4352474212646,0.9568563185421917,0.9579492047710476
64,4,3,32,619.6775176525116,0.9665627471070717,0.9686873416984463
64,4,3,64,422.6894135475159,0.9642358059584146,0.9647458721514777
64,4,3,128,339.5508978366852,0.959473115488537,0.9527464582862988
64,4,5,16,1602.1810643672943,0.9497262661242322,0.9502968028336982
64,4,5,32,1021.8651556968688,0.9648742153142613,0.9679507406576182
64,4,5,64,742.6298186779022,0.9597551407214538,0.9605519191352239
64,4,5,128,567.5792782306671,0.9616080838124688,0.9576432892704437
64,4,7,16,2277.259628534317,0.9648786079113875,0.9671425415230753
64,4,7,32,1550.0752453804016,0.9509339715825187,0.9545637603841028
64,4,7,64,1074.5538296699524,0.963982394112592,0.9658143888314085
64,4,7,128,899.2966961860657,0.9613436720827625,0.9602608904232549
64,8,1,16,725.2892234325409,0.9578142684675996,0.945468691213492
64,8,1,32,428.1378922462464,0.379829983883023,0.46067399196204434
64,8,1,64,306.39256834983826,0.9474872081200051,0.941790140317752
64,8,1,128,250.21570301055908,0.9352449952494382,0.9238591938364054
64,8,3,16,2047.002110004425,0.9618064718869413,0.9639201638577092
64,8,3,32,1281.7072701454165,0.956615876718925,0.9499747028645762
64,8,3,64,866.9689824581146,0.9634145091839962,0.9581002064805564
64,8,3,128,686.898115158081,0.9615168659690295,0.9529497085863504
64,8,5,16,3256.3781595230103,0.9639260343851493,0.9652241205607949
64,8,5,32,2107.448051214218,0.9619680147151551,0.9616840014752435
64,8,5,64,1511.213922739029,0.9326249173962939,0.9339597849837923
64,8,5,128,1219.2629432678225,0.9628764456250194,0.9589331102845597
64,8,7,16,4523.998393297195,0.9553876267362055,0.956526200369519
64,8,7,32,3023.102644920349,0.9428809251473922,0.9445833827223984
64,8,7,64,2117.7565326690674,0.9542432670718012,0.957722939885282
64,8,7,128,1830.9904251098635,0.934066535490113,0.9348209557845422
